route_no,from,to,route
34A,Hosakerehalli,Shivajinagar,"Srinivasanagar, Ramkrishna Ashram, Lalbagh West Gate, Shantinagar"
34B,Vivekanandanagar,Shivajinagar,"Srinivasanagar, Ramkrishna Ashram, Lalbagh West Gate, Shantinagar"
34C,Hoskerehalli Kere,Shivajinagar,"Srinivasanagar, Ramkrishna Ashram, Lalbagh West Gate, Shantinagar"
34E,Bhuvaneshwarinagar,Shivajinagar,"Vivekanandanagar, Srinivasanagar, Ramkrishna Ashram, Lalbagh West Gate, Shantinagar"
34S,Chennamanakere Achukattu,Shivajinagar,"Srinivasanagar, Ramkrishna Ashram, Lalbagh West Gate, Shantinagar"
38,NR Colony,Domlur,"Double Road, Richmond Circle, Brigade Road, MG Road, Trinity Circle, CMH Road, Indiranagar"
41,Malleswaram Bus Station,Gandhi Bazaar,"Malleswaram 8th Cross, Swastik, Corporation, Lalbagh Main Gate"
43B,Hosakerehalli,KBS (Majestic),"Srinivasnagar, Ganesh Bhavan, Ramkrishna Ashram, Uma Talkies, KR Market, Corporation"
43E,KBS(Majestic),Banashankari 3rd Stage 2nd Phase,"Srinivasnagar, Ganesh Bhavan, Ramkrishna Ashram, Uma Talkies, KR Market, Corporation"
44,Banashankari 3rd Stage 2nd Phase,RT Nagar,"Banashankari 1st Stage, Hanmanthnagara Ward Office, Chamrajpet, KR Market, Cantonment Railway Station, JC Nagar, Rehmat Nagar"
45,Chennamanakere Achukkatu,KR Market,"Banashankari 1st Stage, Chamarajapete, K R Market"
45A,Bhuvaneshwarinagara,KR Market,"Banashankari 1st Stage, Chamarajapete, K R Market"
45B,Bhuvaneshwarinagara,KBS (Majestic),"Banashankari 1st Stage, Chamarajapete, K R Market, Corporation"
45C,Kattriguppa,(KR Market),"Banashankari 1st Stage, Chamarajapete, K R Market"
45E,Chennamanakere Achukkatu,K B S - Majestic,"Watertank, Banashankari 1st Stage, Chamarajapete, K R Market, Corporation"
45F,Chennamanakere Achukkatu,KBS - Majestic,"Janta Bazaar, Banashankari 1st Stage, Chamarajapete, K R Market, Corporation"
45J,Chennamanakere Achukkatu,K B S - Majestic,"Banashankari 1st Stage, Chamarajapete, K R Market, Corporation"
52,Yeshvantpur,K.R.MARKET,"Townhall, Corporation, Mysore Bank, Railway Station, Okalipuram, Sunrise Circle, Malleswaram Railway station, Subramanyanagar, Yesvantpur"
52E,Yeshvantpur,K.R.MARKET,"Townhall, Corporation, Mysore Bank, Railway Station, Okalipuram, Sunrise Circle, Malleswaram Railway station, Subramanyanagar, Yesvantpur"
57A,KBS(Majestic),Bapuji Nagar,Mysuru road
59,Vijayanagar,K.R Market,"Maruti Mandir (Vijayanagar), Garage (Vijayanagar), Attiguppe (Vijayanagar), Deepanjali Nagar, Bapujinagar, Chamarajpet, Ram Mmandir (Chamarajpet), Makkalakoota, KR Market."
60A,Jayanagar 9th Block,Vijayanagar,"Jayanagar 9th Block, Jayanagar South End, Gandhi Bazaar, Mysuru Road Satellite Bus stand"
60E,BTM layout,Vijayanagar�via 60A,
61,KBS(Majestic),Vijaynagar,
61A,KBS (Majestic),Chandra Layout,Vijaynagar
61G,KBS (Majestic),Chandra Layout,Vijaynagar
61B,KBS (Majestic),Vijaynagar (Maruthi Mandir),
