route_no,from,to,route
329C,KR Market,Kotur,"Town Hall, Corporation, MG Road, Domlur, HAL, Marathalli, Siddapura, Kodi, Varthur, Madhura Nagar, Vaalepura"
329G,Shivajinagar,Kotur,"MG Road, Domlur, HAL, Marathalli, Siddapura, Kodi, Varthur, Madhura Nagar, Vaalepura"
334E,Domlur,Hosakote,"HAL, Marathahalli, Vathoor Kodi, Whitefield, Kadugodi, (KBS to ITPL), Domlur, HAL, Marathahalli, Kundalahalli gate"
356M,Anekal,KBS (Majestic),"Chandapura, Electronic City, Madiwala, Silk board,"
356J,Yelahanka Satellite Town,Electronic City,"Mekhri circle, Kempegowda Bus Station, Madiwala"
365M,Yelahanka�Satellite Town,Bannerghatta National Park,"Kempegowda Bus Station, Dairy Circle"
366P,Bagalkunte,Bannerghatta National Park,"Jalahalli Cross, KR Market, Lalbagh, Jayanagar 4th Block"
369M,Hulimavu,Vijayanagar,"Jayanagar East End, Jayanagar 4th block, Gandhi Bazaar, MCTC"
375,Kengeri Shirke,Byrasandra (Jayanagar),"via Kengeri, Uttarahalli,Jayanagar TTMC"
375A,Kengeri Shirke,Electronic City,"Kengeri, Uttarahalli, Banashankari, Silk board, Bommanhalli"
375B,Shantinagar,Kengeri Shirke,"Jayanagar, Banashankari, Uttarahalli, Kengeri"
378,Kengeri,Electronic City,"via Uttarahalli, Konanakunte Cross, Gottigere, Bettadasapura, Neeladri, WIPRO"
378A,Jigani,Kengeri,378 route
378B,Jayanagar�4th Block,Electronic city,"Jayanagar 5th block, JP Nagar 1st phase, Jambusavari Dinne, Gottigere, 378 route"
399,Anekal,Hosakote,"Attibelle, Sarjapura, Dommsandra, Varthur, Kadugodi"
399C,Anekal,Chikka Tirupati,"Attibelle, Sarjapur"
401,Yelahanka,Yeshvantapur,"Vidyaranyapura, Mathikere, Hosakerehalli Cross"
401B,Yelahanka,Hampi Nagar,"Vidyaranyapura, Mathikere, Yeshvantapur, Isckon, West of Chord Road, Vijayanagar"
401M,Yeshvantapur,Kengeri TTMC,"Gorguntepalya, Kamakshipalya, Nagarbhavi BDA complex, Kengeri Satellite Town"
401K,Yelahanka,Kengeri,"Kengeri Satellite Town, West of Chord Road, Yeshwanthpur"
401R,Rajarajeshwari Nagar,Yelahanka,"Nyandanahalli, Deepanjali Nagar, Vijaynagar, ISCKON, Yeshwanthpur, BEL Circle"
401P,Kengeri,Yeshwanthpur,West of Chord Road
401S,Yeshwantapura,Chikkalsandra,"Rajajinagar, Vijayanagar, Nayandahalli, Kamakya"
402,KR Market,Yelahanka Satellite Town,"Majestic, Mekhri Circle, Hebbal, Yelahanka NES, Upanagara."
402B,Majestic,Yelahanka Satellite Town,"Mekhri Circle, Hebbal, Yelahanka NES, Upanagara."
402C,Majestic,Attur Layout,"Mekhri Circle, Hebbal, Yelahanka NES, Upanagara."
402G,ISRO Layout,Yelahanka Satellite Town,"KR Road, KR Market, Kempegowda Bus Station, Hebbal"
402M,Chikkalasandra,Yelahanka Satellite Town,"Banashankari, KR Road, KR Market, Majestic, Hebbal"
410,Jalahalli Cross,Bommanhalli,"Sunkadkatte, Vijayanagar, Nayandahalli, Banashankari, Silk Board"
410C,Vijayanagar,Silk Board,same as 410
410D,Electronic City,Bharathnagar,"Bommanhalli, Silk Board, Banashankari, Nayandahalli, Vijayanagar, Sunkdagatte"
410E,Agara,Jalahalli Cross,"Sunkadgatte, Vijayanagar, Nayandahalli, Banashankari, Silk Board"
412,Hennur Cross,ISRO Layout,"Kammanahalli, Bayyapanahalli, Indiranagar 100�ft Road, Domlur Layout, Inner Ring Road, Kormangala, Silk Board, BTM Layout, Banashankari, Kadirenahalli Cross, Kumaraswamy Layout"
414,K.Narayanapura,Hampi Nagar,"Maekhri Circle, Sadhashivanagar, Malleshwaram Circle, Navrang"
415S,Vishvanatha Nagenahalli,Jayanagar 9th block,"RT Nagar, KR Market"
500A,Banashankari,Hebbal,"BTM Layout, Silk Board, Agara, Marathahalli, KR Puram, Rama Murthy Nagar Junction, Kalyan Nagar"
500A,Banashankari,Hebbal,"BTM Layout, Silk Board, Agara, Marathahalli, KR Puram, Rama Murthy Nagar Junction, Kalyan Nagar"
500AA,Yelahanka Satellite Town,KR Pura,"via Hebbal, Kalyan nagar"
500BM,Brigade Millenium (JP Nagar 7th Phase),ITPL,"Puttenahalli, East End, Silk Board, Marathahalli"
500C,Central Silk Board,KR Pura,"Agara, Marathahalli, KR Pura Rly Station,�Ramamurthy Nagar, ITI Circle"
500C,Banashankari,ITPL,"Silk Board, Agara, Marathahalli, Vydehi Hospital, ITPL"
500CB,Arekere Mico Layout,Dinnura,"Arekere Gate,�Bilekahalli,Jayadeva Hospital(Shoppers Stop), Silk board, Agara, Marathahalli, Vydehi Hospital, ITPL"
500CN,Bannerghatta National Park,Kadugodi,"Gottigere,�Bilekahalli,Jayadeva Hospital(Shoppers Stop), Silk board, Agara, Marathahalli, Vydehi Hospital, Hope Form"
500D,Hebbal,Central Silk Board,"Agara, Marathahalli, KR Pura Rly Station"
500DB,Hebbal,ITPL,"Marathahalli, Kundalahalli"
500DE,Vidyaranyapura,ITPL,"Hebbal, KR Pura, Marathahalli, Kundalahalli"
500DF,Hebbal,ITPL,"KR Pura, Hoodi Circle, Graphite Signal"
500K,Vijayanagar,ITPL,"Chandra Layout, Nayandahalli, PESIT, Kathriguppe, Banashankari, Silk Board, Agara, Marathahalli"
500KB,Mathikere,ITPL,"Yeshvantapur, Vijayanagar, 500K(Volvo)"
500EKG,Global Village (Mysore Road),ITPL,"Nayandahalli, PESIT, Banashankari, Sangam Circle, BTM Layout, Silk Board, Marathahalli"
500EKM,Kalyani Magnum (J.P.Nagar 4th phase),ITPL,"East End, Silk Board, Marathahalli"
500KR,RajaRajeshwari Gate,ITPL,"Uttarahalli,Banashankari,East End, Silk Board, Marathahalli"
505,ITPL,Electronic City,"Marathahalli, Silk Board"
505A,Jeevanbhimanagar,Electronic City,"Koramangla Water Tank, Madiwala"
507,KR Pura Railway Station,Sunkadkatte,"Kalyan Nagar, Hebbal, BEL circle, HMT, Jalahalli Cross, Peenya 2nd stage"
600K,Vijayanagar,Electronic City,"PESIT, Banashankari, Silk board, Bommanhalli, Hosa Road Junction"
600NL,Vijayanagar,Electronic City,"PESIT, Somapura Toll, Kanakapura Road Toll, Bannerghatta Road Toll, Electronic City Toll"
